Year,Del Mar,Percent_Del Mar,Hollywood Vine Apartments,Percent_HVA,Hollywood Vine Hotel Condos,Percent_HVHC,Hollywood Western,Percent_HW,Taylor Yard,Percent_Taylor,Westlake,Percent_Westlake,Wilshire Vermont Apartments,Percent_WVA,Wilshire Vermont School,Percent_WVS,Wilshire Western,Percent_WW,Tract 4636.02,Percent_4636,Tract 1910.00,Percent_1910,Tract 1905.10,Percent_1905,Tract 1871.02,Percent_1871,Tract 2089.02,Percent_2089,Tract 2111.20,Percent_2111,Tract 2118.02,Percent_2118,Los Angeles County,Percent_county
2004,93,0,NaN,,NaN,,NaN,,NaN,,NaN,,21,0,NaN,,NaN,,1711,0,1296,0,1493,0,1460,0,430,0,1606,0,1463,0,3821482,0
2005,91,-0.021505376,NaN,,NaN,,NaN,,NaN,,NaN,,19,-0.095238095,2,0,NaN,,1745,0.01987142,1336,0.030864198,1522,0.019423979,1471,0.007534247,372,-0.134883721,1571,-0.021793275,1463,0,3907255,0.022444957
2006,92,0.010989011,NaN,,NaN,,455,0,NaN,,NaN,,17,-0.105263158,0,-1,27,0,1734,-0.006303725,1332,-0.002994012,1623,0.066360053,1482,0.007477906,418,0.123655914,1620,0.031190325,1491,0.019138756,3959562,0.013387148
2007,71,-0.22826087,75,0,137,0,479,0.052747253,NaN,,NaN,,12,-0.294117647,1,NaN,24,-0.111111111,2631,0.517301038,1442,0.082582583,1721,0.060382009,1741,0.174763833,437,0.045454545,1700,0.049382716,1489,-0.001341382,4032931,0.018529575
2008,111,0.563380282,83,0.106666667,137,0,455,-0.050104384,NaN,,NaN,,17,0.416666667,0,-1,21,-0.125,1772,-0.326491828,1333,-0.075589459,1775,0.031377106,1489,-0.1447444,458,0.04805492,1704,0.002352941,1565,0.051040967,4005299,-0.006851593
2009,136,0.225225225,116,0.397590361,183,0.335766423,487,0.07032967,NaN,,55,0,20,0.176470588,1,NaN,29,0.380952381,2196,0.239277652,1740,0.305326332,2040,0.149295775,1592,0.069173942,472,0.030567686,1992,0.169014085,1688,0.078594249,3835979,-0.042273998
2010,102,-0.25,126,0.086206897,166,-0.092896175,436,-0.104722793,NaN,,58,0.054545455,18,-0.1,0,-1,22,-0.24137931,1936,-0.118397086,1396,-0.197701149,1644,-0.194117647,1470,-0.076633166,453,-0.040254237,1778,-0.107429719,1466,-0.131516588,3882081,0.012018314
2011,NaN,,200,0.587301587,231,0.391566265,478,0.096330275,15,0,41,-0.293103448,NaN,,152,NaN,34,0.545454545,2808,0.450413223,1471,0.053724928,1461,-0.111313869,1719,0.169387755,382,-0.156732892,2400,0.349831271,1546,0.054570259,3930995,0.012599943
2012,NaN,,232,0.16,277,0.199134199,445,-0.069037657,18,0.2,35,-0.146341463,NaN,,NaN,,27,-0.205882353,2768,-0.014245014,1639,0.114208022,1539,0.05338809,1624,-0.055264689,401,0.04973822,2399,-0.000416667,1540,-0.003880983,3911631,-0.004925979
2013,NaN,,219,-0.056034483,269,-0.028880866,NaN,,14,-0.222222222,57,0.628571429,NaN,,NaN,,NaN,,2758,-0.003612717,1638,-0.000610128,1524,-0.009746589,1780,0.096059113,471,0.174563591,2496,0.040433514,1728,0.122077922,4017324,0.027020187
2014,NaN,,NaN,,NaN,,NaN,,18,0.285714286,49,-0.140350877,NaN,,NaN,,NaN,,2329,-0.155547498,1739,0.061660562,1789,0.173884514,1568,-0.119101124,517,0.097664544,1940,-0.22275641,1746,0.010416667,4119715,0.025487364
2015,NaN,,NaN,,NaN,,NaN,,29,0.611111111,60,0.224489796,NaN,,NaN,,NaN,,2432,0.044224989,1905,0.095457159,1955,0.092789268,1650,0.052295918,588,0.137330754,2089,0.076804124,1887,0.080756014,4224979,0.025551282
2016,NaN,,NaN,,NaN,,NaN,,19,-0.344827586,NaN,,NaN,,NaN,,NaN,,2457,0.010279605,2044,0.072965879,1901,-0.027621483,1767,0.070909091,635,0.079931973,2142,0.025370991,1996,0.057763646,4346063,0.028659077
2017,NaN,,NaN,,NaN,,NaN,,14,-0.263157895,NaN,,NaN,,NaN,,NaN,,2364,-0.037851038,2122,0.03816047,1891,-0.005260389,1643,-0.070175439,620,-0.023622047,2216,0.034547152,1905,-0.045591182,4361767,0.003613385
